date,open,close,9M_minus_1M,factor_ma,factor_prev,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav,ret_cc
2025-09-05,5506.0579,5642.5939,1.7800000000000011,0.9800000000000011,3.7580000000000005,1,1,1,0,0.0,0.025532806543875575,0.025532806543875575,1.2064953463944994,2.127022074155805,0.025532806543875575
2025-09-08,5652.5231,5681.2263,1.7800000000000011,1.056000000000001,3.914,1,1,1,0,0.0,0.006846567497972966,0.006846567497972966,1.2147556982195795,2.141584874356191,0.006846567497972966
2025-09-09,5659.6925,5629.7514,1.5999999999999979,1.2140000000000009,3.9859999999999993,1,1,1,0,0.0,-0.009060526245891709,-0.009060526245891709,1.2037493723335144,2.122180988394282,-0.009060526245891709
2025-09-10,5625.3751,5641.2055,2.030000000000001,1.4620000000000004,3.7840000000000003,1,1,1,0,0.0,0.0020345658602261008,0.0020345658602261008,1.2061984797107328,2.12649870538249,0.0020345658602261008
2025-09-11,5632.7427,5769.357,0.5500000000000007,1.5480000000000005,3.7120000000000006,1,1,1,0,0.0,0.02271704159687138,0.02271704159687138,1.2335997407484045,2.174806464928357,0.02271704159687138
2025-09-12,5766.97,5759.2864,0.8200000000000003,1.3560000000000003,3.3619999999999997,1,1,1,0,0.0,-0.0017455324744161116,-0.0017455324744161116,1.2314464523404969,2.1710102696182543,-0.0017455324744161116
2025-09-15,5773.4132,5764.1615,0.33000000000000185,1.0660000000000003,2.654,1,1,1,0,0.0,0.0008464763967981348,0.0008464763967981348,1.2324888426963239,2.1728479785686923,0.0008464763967981348
2025-09-16,5772.2142,5790.9336,-0.4800000000000004,0.6500000000000007,2.246000000000001,1,1,1,0,0.0,0.004644578400518462,0.004644578400518462,1.2382132337539913,2.1829399413575628,0.004644578400518462
2025-09-17,5785.7,5829.8423,-1.4200000000000017,-0.039999999999999855,1.9960000000000004,1,1,1,0,0.0,0.006718899349838825,0.006718899349838825,1.2465326638452228,2.197606895110287,0.006718899349838825
2025-09-18,5824.031,5766.7158,-1.1400000000000006,-0.3780000000000001,1.6400000000000006,1,1,1,0,0.0,-0.010828165969429482,-0.010828165969429482,1.2330350012747917,2.1738108429144702,-0.010828165969429482
2025-09-19,5766.1268,5749.1028,-0.379999999999999,-0.618,1.3660000000000003,1,1,1,0,0.0,-0.0030542514337190685,-0.0030542514337190685,1.2292690023543225,2.167171478030865,-0.0030542514337190685
2025-09-22,5760.1785,5778.2598,-0.17999999999999972,-0.7200000000000003,0.9620000000000004,1,1,1,0,0.0,0.0050715739506346225,0.0050715739506346225,1.2355033310049852,2.1781624484454043,0.0050715739506346225
2025-09-23,5789.9988,5742.3736,0.31999999999999673,-0.5600000000000008,0.46600000000000036,1,1,1,0,0.0,-0.0062105549494330115,-0.0062105549494330115,1.2278301696775713,2.1646348508705424,-0.0062105549494330115
2025-09-24,5712.1526,5821.912,0.45000000000000284,-0.18599999999999994,0.018000000000000682,1,1,1,0,0.0,0.01385113640115665,0.01385113640115665,1.2448370128352306,2.1946175034486477,0.01385113640115665
2025-09-25,5817.6466,5831.1453,0.9699999999999989,0.23599999999999993,-0.41399999999999937,-1,1,1,0,0.0,0.001585956641048547,0.001585956641048547,1.2468112703627596,2.1980980716528036,0.001585956641048547
