date,open,close,total_mv,small_amount,small_full_ratio,factor_ma,z,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav
2024-10-30,4740.1148,4755.9686,94566754312563.97,235139735.11,2.4864947181417623e-06,2.552939114718085e-06,1.4695235695836961,1,1,1,0,0.0,-0.001646056378275751,-0.001646056378275751,0.8326007209746623,1.6977542032083432
2024-10-31,4759.9816,4794.141,95046791351630.0,272902051.12,2.8712389680824286e-06,2.6039169098936985e-06,1.468743476809758,1,1,1,0,0.0,0.008026209424511155,0.008026209424511155,0.839283348728204,1.7113807339946374
2024-11-01,4784.1137,4723.3393,94276831564245.97,277499063.73,2.943449192402009e-06,2.6472714170184835e-06,1.4647925226569372,1,1,1,0,0.0,-0.014768380821506888,-0.014768380821506888,0.8268884926170363,1.6861064115844147
2024-11-04,4721.4728,4803.0084,95559591395414.03,214518970.74,2.244871159529622e-06,2.5944558338958725e-06,1.239241560917187,1,1,1,0,0.0,0.01686711348473313,0.01686711348473313,0.8408357146612279,1.714546159775945
2024-11-05,4800.0469,4943.2145,97981287744030.97,281203008.74,2.8699664519068432e-06,2.5480959610479695e-06,1.0332376582844336,1,1,1,0,0.0,0.029191308514055603,0.029191308514055603,0.8653808094175401,1.764596005687554
2024-11-06,4958.408,4946.6347,97871295310279.03,309574243.67999995,3.16307496185234e-06,2.522204885446267e-06,0.879958692725882,0,1,1,0,0.0,0.000691897954256282,0.000691897954256282,0.8659795646292288,1.765816926053978
2024-11-07,4904.1339,5071.7389,100310636734970.0,302567198.83,3.0163022454877896e-06,2.5332141644266466e-06,0.8383774204704411,0,0,1,1,0.0003,0.02499076990463852,0.02529076990463852,0.8878808545403857,1.809946050546709
2024-11-08,5125.9745,5049.4472,99761443231380.0,321401384.24,3.2216994244415973e-06,2.583224061735254e-06,0.9333482352129254,0,0,0,0,0.0,-0.0,-0.004395277525031993,0.8839783717755181,1.809946050546709
2024-11-11,5020.3599,5118.2831,100556129092675.0,301484245.71999997,2.9981687684312577e-06,2.6214663772217707e-06,1.002591923746535,1,0,0,0,0.0,0.0,0.013632363558529814,0.8960290863174392,1.809946050546709
2024-11-12,5124.901,5059.1084,99376181021954.0,312290863.86,3.1425122262547935e-06,2.6643372411138077e-06,1.1065660721463046,1,1,0,1,0.0003,-0.0003,-0.011561435513404827,0.885669703817845,1.809403066731545
2024-11-13,5028.8736,5072.3575,99818980106581.97,250922363.14,2.5137740625287596e-06,2.692617193935883e-06,1.1776049520328578,1,1,1,0,0.0,0.002618860667227496,0.002618860667227496,0.8879891493693286,1.814141641254169
2024-11-14,5058.7926,4949.2514,97840864601673.0,232043350.67,2.37164043484988e-06,2.705361793825825e-06,1.2095483758752956,1,1,1,0,0.0,-0.024269996742146027,-0.024269996742146027,0.866437655607074,1.770112429531139
2024-11-15,4930.1282,4847.6288,96243455477243.0,232496565.38,2.4157129877259485e-06,2.686722899887652e-06,1.0801660978156689,1,1,1,0,0.0,-0.02053292342353019,-0.02053292342353019,0.848647157573231,1.733766846564537
2024-11-18,4865.5969,4780.6632,95494455465604.97,225611059.06,2.362556631795866e-06,2.6638223259616854e-06,0.8990255194486754,0,1,1,0,0.0,-0.013814094016439626,-0.013814094016439626,0.8369238659517301,1.7098164283435084
2024-11-19,4783.707,4854.3987,96527403896822.0,203655162.64,2.1098170511007082e-06,2.6423855044043246e-06,0.6904297801691783,0,0,1,1,0.0003,0.015123696862811864,0.015423696862811864,0.8498323259574222,1.7356751736968314
2024-11-20,4841.7277,4906.8049,97334756694301.0,209685470.09,2.154271271757103e-06,2.6240685529220994e-06,0.4535687423280141,0,0,0,0,0.0,0.0,0.01079561099915427,0.859006785162965,1.7356751736968314
2024-11-21,4896.9809,4912.6701,97389403737500.03,208613175.37,2.1420520853817793e-06,2.6281397462832845e-06,0.42286094981280414,0,0,0,0,0.0,0.0,0.0011953195856635457,0.8600335727974882,1.7356751736968314
2024-11-22,4902.5136,4746.3702,94372910484638.0,231848754.67,2.456729939549128e-06,2.6340441813865432e-06,0.4255601639108879,0,0,0,0,0.0,-0.0,-0.033851224815604875,0.8309203829757525,1.7356751736968314
2024-11-25,4756.7161,4749.1384,94448098741227.0,196713434.94,2.082767547062689e-06,2.615687878947806e-06,0.022241310589017585,0,0,0,0,0.0,0.0,0.0005832246292123422,0.8314049962080186,1.7356751736968314
2024-11-26,4737.2183,4718.8535,94135473966463.0,175157198.53000003,1.8606927988953674e-06,2.5713896463588836e-06,-0.8763653883891648,0,0,0,0,0.0,-0.0,-0.00637692512814525,0.8261031887960342,1.7356751736968314
2024-11-27,4698.0872,4806.6335,95721725312787.0,195095271.27,2.038150384695774e-06,2.5489724296865845e-06,-1.2991630157759477,-1,0,0,0,0.0,0.0,0.01860197609440517,0.8414703405655298,1.7356751736968314
2024-11-28,4806.1065,4778.9653,95204048214692.0,196507475.29,2.0640663813671187e-06,2.5086138003508187e-06,-1.807505105591749,-1,-1,0,1,0.0003,-0.0003,-0.005756253311179238,0.8366266241313903,1.7351544711447224
2024-11-29,4770.9287,4845.8985,96257509962408.03,222178891.44,2.30817202238837e-06,2.476849941850137e-06,-1.9905428286038465,-1,-1,-1,0,0.0,-0.014005793262403587,0.014005793262403587,0.8483442436667972,1.7108522563435342
2024-12-02,4844.4571,4917.3067,97428988209211.0,230590600.59,2.3667555706813735e-06,2.4829441624077243e-06,-1.6698288673747685,-1,-1,-1,0,0.0,-0.01473580183324108,0.01473580183324108,0.8608452763278419,1.6856414765281025
2024-12-03,4920.3679,4921.1225,97756552222429.03,223825613.39999998,2.289622621824074e-06,2.453926970903586e-06,-1.8564577418465376,-1,-1,-1,0,0.0,-0.000775993899261973,0.000775993899261973,0.8615132870104808,1.6843334290259737
2024-12-04,4915.777,4875.106,97204385868798.03,217380329.19,2.2363222322438195e-06,2.4075893344231595e-06,-2.140353043543778,-1,-1,-1,0,0.0,0.009350813762510568,-0.009350813762510568,0.8534574367097175,1.7000833172347667
2024-12-05,4857.373,4898.1828,97438108950390.0,195479417.79,2.0061905951964556e-06,2.3570837519085935e-06,-2.274534781618618,-1,-1,-1,0,0.0,-0.00473359963865394,0.00473359963865394,0.8574973625237332,1.6920358034586227
2024-12-06,4902.8631,4956.569,98504527407888.0,229863151.01,2.3335287936378966e-06,2.312675220368408e-06,-2.2278563293222815,-1,-1,-1,0,0.0,-0.011919971627028847,0.011919971627028847,0.8677187067552682,1.671866784689479
