date,close,net_top20,factor_ma,z,signal_raw,pos,ret,strat_ret,index_nav,strat_nav
2017-11-27,4912.6597,-3020,-3268.0,0.4276194091281555,0,0,-0.012234403743547007,-0.0,0.952800708577518,0.9383829244662621
2017-11-28,4952.6775,-3294,-3212.0,0.4960622253043733,0,0,0.008145852235602602,0.0,0.9605620823595679,0.9383829244662621
2017-11-29,4957.8938,-2934,-3107.2,0.5978195363741279,0,0,0.0010532282790469694,0.0,0.9615737735084892,0.9383829244662621
2017-11-30,4913.7,-3268,-3152.4,0.6137057300834157,0,0,-0.008913825463546687,-0.0,0.9530024727211105,0.9383829244662621
2017-12-01,4929.9166,-3108,-3124.8,0.6777536502431497,0,0,0.0033002828825527963,0.0,0.9561476504688624,0.9383829244662621
2017-12-04,4921.5942,-2718,-3064.4,0.7702349693698454,0,0,-0.0016881421482870529,-0.0,0.9545335373201203,0.9383829244662621
2017-12-05,4874.0173,-2074,-2820.4,0.9842047377215738,0,0,-0.00966696929218569,-0.0,0.9453060909264853,0.9383829244662621
2017-12-06,4878.7262,-1568,-2547.2,1.2126044952740007,1,0,0.0009661229556980899,0.0,0.9462193728410906,0.9383829244662621
2017-12-07,4845.4794,-1708,-2235.2,1.454922590876556,1,1,-0.006814647643067162,-0.0003,0.9397712212221345,0.9381014095889223
2017-12-08,4889.2322,-1614,-1936.4,1.6682891877558765,1,1,0.009029612219587646,0.009029612219587646,0.9482569909248987,0.9465721015401588
2017-12-11,4956.4752,-1372,-1667.2,1.8370129448954051,1,1,0.01375328420687394,0.01375328420687394,0.9612986388222439,0.9595905766749385
2017-12-12,4902.4219,-1348,-1522.0,1.907875037041484,1,1,-0.010905592748653214,-0.010905592748653214,0.9508151073574138,0.9491256726402764
2017-12-13,4939.4375,-2270,-1662.4,1.7800919559796733,1,1,0.007550472145206433,0.007550472145206433,0.9579942103407574,0.9562920195938471
2017-12-14,4927.6122,-1144,-1549.6,1.8258732988342998,1,1,-0.0023940580278625223,-0.0023940580278625223,0.9557007166108453,0.9540026010073576
2017-12-15,4889.4432,-4284,-2083.6,1.4391339711967683,1,1,-0.0077459423450571,-0.0077459423450571,0.948297913960848,0.94661295186292
2017-12-18,4876.228,-396,-1888.4,1.5501541190853982,1,1,-0.002702802642231217,-0.002702802642231217,0.9457348518533722,0.9440544438754547
2017-12-19,4922.0943,-650,-1748.8,1.6208150219223187,1,1,0.009406102421789964,0.009406102421789964,0.9546305307337615,0.9529343166662931
2017-12-20,4896.1855,-220,-1338.8,1.8649931575786507,1,1,-0.005263775624940847,-0.005263775624940847,0.9496055698152608,0.9479182842380555
2017-12-21,4926.1749,-5618,-2233.6,1.2647655427467213,1,1,0.0061250538812307465,0.0061250538812307465,0.9554219550962961,0.9537243348040173
2017-12-22,4915.8018,-5420,-2460.8,1.1135087453944625,1,1,-0.0021057108630064825,-0.0021057108630064825,0.953410112706695,0.9517160671119068
2017-12-25,4878.3071,-5480,-3477.6,0.4485442316450353,0,1,-0.007627382373308955,-0.007627382373308955,0.9461380892185014,0.9444569647572225
2017-12-26,4899.359,-5800,-4507.6,-0.22740383669678532,0,0,0.004315410975254119,0.004015410975254119,0.9502210639128209,0.9482493476191639
2017-12-27,4848.9619,-6160,-5695.6,-1.0069741718003575,-1,0,-0.010286468086947775,-0.0,0.9404466452633361,0.9482493476191639
2017-12-28,4873.3392,-6704,-5912.8,-1.1334886751962823,-1,0,0.005027323477216905,0.0,0.9451745747621384,0.9482493476191639
2017-12-29,4898.9029,-7124,-6253.6,-1.337961080869372,-1,-1,0.005245622960125429,-0.0003,0.9501326042128374,0.9479648728148782
2018-01-02,4959.1034,-6370,-6431.6,-1.4300643659944725,-1,-1,0.012288567711762566,-0.012288567711762566,0.9618083730548601,0.9363157422869202
2018-01-03,4995.4131,-6000,-6471.6,-1.4306650411477295,-1,-1,0.007321827570685446,-0.007321827570685446,0.9688505681184093,0.929460199870177
2018-01-04,5013.8482,-5864,-6412.4,-1.367732055693056,-1,-1,0.0036904055042015216,-0.0036904055042015216,0.9724260195877422,0.9260301148326399
2018-01-05,5020.4897,-5560,-6183.6,-1.1971618369207309,-1,-1,0.0013246312483092826,-0.0013246312483092826,0.9737141254799572,0.9248034664056571
