date,open,close,intercept_future,beta_tau,n_contracts,z,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav,ret_cc
2022-04-07,5140.5931,5076.5206,-0.001043431011818266,-0.05796338785089529,4,0.3999805491282106,0,0,1,1,0.0003,-0.017916399309050347,-0.017616399309050346,0.8519449674481652,0.9480783139498024,-0.017616399309050346
2022-04-08,5080.6032,5077.997,0.00313031339915934,-0.05818547292982059,4,1.4515315853087758,1,0,0,0,0.0,0.0,0.00029082911630462505,0.8521927378501883,0.9480783139498024,0.00029082911630462505
2022-04-11,5050.7255,4916.1682,0.0018484529407268892,-0.05706642871347012,4,0.988808785149056,0,1,0,1,0.0003,-0.0003,-0.03186862851632255,0.8250345240633329,0.9477938904556175,-0.03186862851632255
2022-04-12,4913.115,5001.971,0.0008625386661822165,-0.04998221040370596,4,0.7693847694262641,0,0,1,1,0.0003,0.017153186406437336,0.017453186406437338,0.8394340054035565,0.9640515757334851,0.017453186406437338
2022-04-13,4973.6096,4933.0215,0.0033969330025987446,-0.0495777848527516,4,1.3468071477164645,1,0,0,0,0.0,-0.0,-0.013784466163438314,0.8278628557596317,0.9640515757334851,-0.013784466163438314
2022-04-14,4963.6035,4993.4482,0.0007402256246782464,-0.045541402432977704,4,0.5761189929535133,0,1,0,1,0.0003,-0.0003,0.012249429685234459,0.8380037036002767,0.9637623602607651,0.012249429685234459
2022-04-15,4962.5122,4957.7195,0.003559177837834642,-0.05275565651207043,3,1.403098825593337,1,0,1,1,0.0003,-0.007455115777510157,-0.007155115777510157,0.8320076900790344,0.9565774002830147,-0.007155115777510157
2022-04-18,4918.6557,4957.229,0.00013949026801535376,-0.035089749810412185,4,0.26855729305550546,0,1,0,1,0.0003,-0.0003,-9.893661793491937e-05,0.8319253740520821,0.9562904270629299,-9.893661793491937e-05
2022-04-19,4952.6093,4947.5472,0.0022904933022847834,-0.03499548504864598,4,0.8734863706846663,0,0,1,1,0.0003,-0.002253066925090674,-0.001953066925090674,0.8303005681198773,0.9541358407309336,-0.001953066925090674
2022-04-20,4943.367,4867.2415,-0.002148448893894532,-0.03382992393721946,4,-0.6876216308162733,0,0,0,0,0.0,-0.0,-0.016231416650254515,0.8168236136537805,0.9541358407309336,-0.016231416650254515
2022-04-21,4843.0862,4731.3344,0.002293245823687862,-0.03645576087654528,4,0.8099740130433664,0,0,0,0,0.0,-0.0,-0.027922818294510376,0.7940155963110607,0.9541358407309336,-0.027922818294510376
2022-04-22,4698.6615,4718.911,0.0010710010107416144,-0.03583496165001989,4,0.2604687618139591,0,0,0,0,0.0,-0.0,-0.002625770860753329,0.7919306932952834,0.9541358407309336,-0.002625770860753329
2022-04-25,4630.7786,4432.8927,-0.0010695365513123892,-0.027202051065031294,4,-0.7007889087079522,0,0,0,0,0.0,-0.0,-0.06061108166693541,0.7439309173694102,0.9541358407309336,-0.06061108166693541
2022-04-26,4436.7904,4351.27,0.0005269890162017815,-0.0330581131247984,4,-0.153962528852536,0,0,0,0,0.0,-0.0,-0.0184129654209767,0.7302329431122918,0.9541358407309336,-0.0184129654209767
2022-04-27,4308.2675,4503.9459,-0.0019183815032967847,-0.03419249391109688,4,-1.3681779931029727,-1,0,0,0,0.0,0.0,0.03508766406129693,0.755855111306708,0.9541358407309336,0.03508766406129693
2022-04-28,4481.137,4501.3632,-0.001146498690032468,-0.03644932518379779,4,-1.0134764759993389,-1,-1,0,1,0.0003,-0.0003,-0.0005734305112323757,0.7554216809238138,0.9538495999787143,-0.0005734305112323757
2022-04-29,4527.3503,4647.0227,0.001271495926016556,-0.03684504036777465,4,0.302124366335677,0,-1,-1,0,0.0,-0.03235897516556774,0.03235897516556774,0.7798663523363589,0.9229840044613163,0.03235897516556774
2022-05-05,4630.0437,4676.8468,-0.003756641535732729,-0.035093339511616264,4,-2.0274328436601805,-1,0,-1,1,0.0003,-0.006717894192769946,0.006417894192769946,0.7848714520701551,0.9167834955777261,0.006417894192769946
2022-05-06,4574.7768,4580.5537,-0.007403343157257604,-0.033441507909596796,4,-2.777578387483084,-1,-1,0,1,0.0003,-0.0003,-0.020589320992939086,0.7687114818052885,0.9165084605290528,-0.020589320992939086
2022-05-09,4561.4561,4587.4413,-0.006832657580198553,-0.03760041414132846,4,-2.2148064992351637,-1,-1,-1,0,0.0,-0.001503661009366608,0.001503661009366608,0.7698673632879315,0.9151303424922006,0.001503661009366608
2022-05-10,4523.8766,4651.7187,-0.00179351077745178,-0.035124031498049754,4,-0.5146128254815937,0,-1,-1,0,0.0,-0.014011601630739001,0.014011601630739001,0.7806544380908294,0.9023079006929982,0.014011601630739001
2022-05-11,4654.4629,4703.8688,-0.0054428424968170075,-0.03721162429329482,4,-1.5364007113580154,-1,0,-1,1,0.0003,-0.011510931563853999,0.011210931563853999,0.7894063015712846,0.8919214961985963,0.011210931563853999
2022-05-12,4675.5231,4704.5158,-0.004244864447997166,-0.03862080325141099,4,-1.0400096251130087,-1,-1,0,1,0.0003,-0.0003,0.00013754635333373955,0.7895148815293643,0.8916539197497367,0.00013754635333373955
2022-05-13,4728.4854,4739.1925,-0.0037453567970440003,-0.03823151956212984,4,-0.8010301310287091,0,-1,-1,0,0.0,-0.007370939215466166,0.007370939215466166,0.7953343477308232,0.8850815929060293,0.007370939215466166
2022-05-16,4770.4438,4721.8011,-0.007305559430508625,-0.03881334619967624,4,-1.713960431576978,-1,0,-1,1,0.0003,0.003369696894565977,-0.003669696894565977,0.7924157117448137,0.8880640496010823,-0.003669696894565977
2022-05-17,4723.7603,4759.935,-0.004166139906354531,-0.0413396748206316,4,-0.6729630806186108,0,-1,0,1,0.0003,-0.0003,0.008076134337806185,0.7988153674842532,0.8877976303862021,0.008076134337806185
2022-05-18,4765.8488,4755.4625,-0.004302290593844075,-0.042217975066130606,4,-0.6387216939568179,0,0,-1,1,0.0003,0.0006396136711952164,-0.0009396136711952163,0.7980647896442041,0.8883654778878518,-0.0009396136711952163
2022-05-19,4687.8644,4778.5435,-0.0028031229194098537,-0.042254290615075706,4,-0.09222558250565806,0,0,0,0,0.0,0.0,0.0048535762820125505,0.8019382579787305,0.8883654778878518,0.0048535762820125505
2022-05-20,4799.5145,4857.2587,-0.0027724467234690707,-0.03216581986769296,3,0.0043920600270116105,0,0,0,0,0.0,0.0,0.01647263439163016,0.815148293707075,0.8883654778878518,0.01647263439163016
2022-05-23,4865.2065,4868.5237,-0.010888759280878221,-0.031469081836224974,4,-2.3621097414554297,-1,0,0,0,0.0,0.0,0.0023192093927382196,0.817038793286315,0.8883654778878518,0.0023192093927382196
2022-05-24,4868.0475,4714.1331,-0.00596679015166148,-0.033050187083917694,4,-0.7680325778543158,0,-1,0,1,0.0003,-0.0003,-0.03171199515779288,0.7911288630298905,0.8880989682444855,-0.03171199515779288
2022-05-25,4712.4957,4769.1358,-0.0075035400716986795,-0.03384722243479827,4,-1.167764789721555,-1,0,-1,1,0.0003,-0.011967617106525974,0.011667617106525974,0.8003594516856445,0.8774705398398348,0.011667617106525974
